serie,categoria,tipologia,clase,codigo,referencia,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BMW 114i F21,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832032,BMW 114i F21 MT 1600CC T 3P,,,,51100.0,52900.0,56900.0,,,,,,,,,,,
BMW 116i E81,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832018,BMW 116i E81 MT 1600CC CT 3P,,50600.0,55900.0,,,,,,,,,,,,,,
BMW 116i E81 Sport,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832034,BMW 116i E81 Sport MT 1600CC 3P,,44400.0,,,,,,,,,,,,,,,
BMW 116i E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832006,BMW 116i E87 MT 1600CC 5P,39400.0,43000.0,46100.0,,,,,,,,,,,,,,
BMW 116i E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832014,BMW 116i E87 MT 1600CC CT 5P,41600.0,44600.0,46600.0,,,,,,,,,,,,,,
BMW 116i E87 SPORT,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832051,BMW 116i E87 SPORT TP 1600CC CT 5P,,38100.0,,,,,,,,,,,,,,,
BMW 116i F20 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832021,BMW 116i F20 Sport Line MT 1600CC T 5P,,,42700.0,47000.0,51800.0,,,,,,,,,,,,
BMW 116i F20 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832050,BMW 116i F20 Sport Line TP 1600CC T 5P,,,,,60600.0,,,,,,,,,,,,
BMW 116i F20 Standard,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832027,BMW 116i F20 Standard MT 1600CC T 5P,,,43100.0,47500.0,52300.0,,,,,,,,,,,,
BMW 116i F20 Standard,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832038,BMW 116i F20 Standard TP 1600CC T 5P,,,,43400.0,47800.0,52600.0,,,,,,,,,,,
BMW 116i F20 Urban Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832022,BMW 116i F20 Urban Line TP 1600CC T 5P,,,41000.0,45200.0,49800.0,,,,,,,,,,,,
BMW 116i F21,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832029,BMW 116i F21 MT 1600CC T 3P,,,,53200.0,57700.0,,,,,,,,,,,,
BMW 116i F21 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832028,BMW 116i F21 Sport Line TP 1600CC T 3P,,,,51500.0,56700.0,,,,,,,,,,,,
BMW 118 [F70] Edición M PRO,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832067,BMW 118 [F70] Edición M PRO TP 15000CC 6AB,,,,,,,,,,,,,,,,174700.0,
BMW 118d E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832017,BMW 118d E87 MT 2000CC TD,,,,,,,,,,,,,,,,,
BMW 118i F20 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832023,BMW 118i F20 Sport Line MT 1600CC T 5P,,,50400.0,55500.0,,,,,,,,,,,,,
BMW 118i F20 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832026,BMW 118i F20 Sport Line TP 1600CC T 5P,,,48700.0,52000.0,55800.0,,,,,,,,,,,,
BMW 118i F20 Standard M,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832042,BMW 118i F20 Standard M MT 1600CC T 5P,,,,,53400.0,58700.0,,,,,,,,,,,
BMW 118i F20 Standard M,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832039,BMW 118i F20 Standard M TP 1600CC T 5P,,,,,54800.0,60400.0,,,,,,,,,,,
BMW 118i F40 Edicion M,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832060,BMW 118i F40 Edicion M TP 1500CC T CT,,,,,,,,,,,93300.0,103400.0,,125800.0,148800.0,158200.0,172900.0
BMW 118i F40 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832058,BMW 118i F40 Sport Line TP 1500CC T CT,,,,,,,,,,,94300.0,102400.0,112000.0,126000.0,138500.0,,
BMW 120d E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832016,BMW 120d E87 MT 2000CC TD,40800.0,45100.0,,,,,,,,,,,,,,,
BMW 120d E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832024,BMW 120d E87 TP 2000CC TD,30500.0,33700.0,,,,,,,,,,,,,,,
BMW 120d F20 Sport Line,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832025,BMW 120d F20 Sport Line MT 2000CC TD,,,39800.0,44000.0,,,,,,,,,,,,,
BMW 120i E81,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832019,BMW 120i E81 MT 2000CC CT 3P,,,53700.0,,,,,,,,,,,,,,
BMW 120i E82 COUPE,LIVIANO PASAJEROS,SEDAN,AUTOMOVIL,00833175,BMW 120i E82 COUPE MT 2000CC,48600.0,53500.0,58900.0,64900.0,,,,,,,,,,,,,
BMW 120i E82 COUPE,LIVIANO PASAJEROS,SEDAN,AUTOMOVIL,00833212,BMW 120i E82 COUPE TP 2000CC,,50600.0,55400.0,59800.0,,,,,,,,,,,,,
BMW 120i E87,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832007,BMW 120i E87 AT 2000CC 5P,43300.0,47300.0,,,,,,,,,,,,,,,
BMW 120i E87 SPORT,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832005,BMW 120i E87 SPORT MT 2000CC 5P,37900.0,41900.0,46200.0,,,,,,,,,,,,,,
BMW 120i E88 CABRIOLET,LIVIANO PASAJEROS,DESCAPOTABLES,AUTOMOVIL,00831019,BMW 120i E88 CABRIOLET MT 2000CC 2P,73000.0,75300.0,78400.0,83300.0,85200.0,,,,,,,,,,,,
BMW 120i E88 CABRIOLET,LIVIANO PASAJEROS,DESCAPOTABLES,AUTOMOVIL,00831025,BMW 120i E88 CABRIOLET TP 2000CC 2P,62900.0,66400.0,66800.0,67200.0,74200.0,,,,,,,,,,,,
BMW 120i F20 LCI Comfort,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832052,BMW 120i F20 LCI Comfort TP 2000CC T CT 5P,,,,,,,,,81700.0,87800.0,,,,,,,
BMW 120i F20 LCI M Edition,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832044,BMW 120i F20 LCI M Edition MT 1600CC T CT 5P,,,,,,,67500.0,,,,,,,,,,
BMW 120i F20 LCI M Edition,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832045,BMW 120i F20 LCI M Edition TP 1600CC T CT 5P,,,,,,,64900.0,71400.0,,,,,,,,,
BMW 120i F20 LCI M Edition,LIVIANO PASAJEROS,HATCHBACK,AUTOMOVIL,00832048,BMW 120i F20 LCI M Edition TP 2000CC T CT 5P,,,,,,,,70100.0,77200.0,85100.0,,,,,,,
BMW 125i E82 COUPE,LIVIANO PASAJEROS,SEDAN,AUTOMOVIL,00833194,BMW 125i E82 COUPE MT 3000CC 2P,,78400.0,86300.0,,,,,,,,,,,,,,
BMW 125i E82 COUPE,LIVIANO PASAJEROS,SEDAN,AUTOMOVIL,00833130,BMW 125i E82 COUPE TP 3000CC 2P,61100.0,67400.0,69300.0,,,,,,,,,,,,,,
