order,catalog_label,marca,categoria,tipologia,codigo,referencia_uno,referencia_dos,referencia_tres,image_filename,image_path,image_slug,image_url,image_downloaded
2,BMW C 650 GT AT 650CC,BMW,MOTOS,SCOOTERS,00856003,C,650 GT,AT 650CC,002_bmw-c-650-gt-at-650cc.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/002_bmw-c-650-gt-at-650cc.jpg,bmw-c-650-gt-at-650cc,https://guiadevalores.fasecolda.com/ConsultaFotos/00856003.jpg,True
3,BMW C 650 Sport AT 650CC,BMW,MOTOS,SCOOTERS,00856004,C,650 Sport,AT 650CC,003_bmw-c-650-sport-at-650cc.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/003_bmw-c-650-sport-at-650cc.jpg,bmw-c-650-sport-at-650cc,https://guiadevalores.fasecolda.com/ConsultaFotos/00856004.jpg,True
4,BMW C 400 X AT 350CC ABS,BMW,MOTOS,SCOOTERS,00856005,C,400 X,AT 350CC ABS,004_bmw-c-400-x-at-350cc-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/004_bmw-c-400-x-at-350cc-abs.jpg,bmw-c-400-x-at-350cc-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/912920-152.jpg,True
5,BMW C 400 GT AT 350CC ABS,BMW,MOTOS,SCOOTERS,00856006,C,400 GT,AT 350CC ABS,005_bmw-c-400-gt-at-350cc-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/005_bmw-c-400-gt-at-350cc-abs.jpg,bmw-c-400-gt-at-350cc-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00856006-1.jpg,True
6,BMW CE 04 AVANTGARDE/WHITE AT ABS,BMW,MOTOS,SCOOTERS,00856007,CE,04 AVANTGARDE/WHITE,AT ABS,006_bmw-ce-04-avantgarde-white-at-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/006_bmw-ce-04-avantgarde-white-at-abs.jpg,bmw-ce-04-avantgarde-white-at-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00856007-1.jpg,True
7,BMW CE 02 BASIC AT ABS,BMW,MOTOS,SCOOTERS,00856008,CE,02 BASIC,AT ABS,007_bmw-ce-02-basic-at-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/007_bmw-ce-02-basic-at-abs.jpg,bmw-ce-02-basic-at-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00856008-1.png,True
8,BMW CE 02 HIGHLINE AT ABS,BMW,MOTOS,SCOOTERS,00856009,CE,02 HIGHLINE,AT ABS,008_bmw-ce-02-highline-at-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/008_bmw-ce-02-highline-at-abs.jpg,bmw-ce-02-highline-at-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00856009-1.png,True
14,BMW F 700 GS MT 800CC,BMW,MOTOS,ENDURO (SUPERMOTARD),00854015,F 700,GS,MT 800CC,014_bmw-f-700-gs-mt-800cc.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/014_bmw-f-700-gs-mt-800cc.jpg,bmw-f-700-gs-mt-800cc,https://guiadevalores.fasecolda.com/ConsultaFotos/00854015.jpg,True
15,BMW F 750 GS Premium MT 850CC ABS,BMW,MOTOS,ENDURO (SUPERMOTARD),00854024,F 750,GS Premium,MT 850CC ABS,015_bmw-f-750-gs-premium-mt-850cc-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/015_bmw-f-750-gs-premium-mt-850cc-abs.jpg,bmw-f-750-gs-premium-mt-850cc-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00854024-1.jpg,True
16,BMW F 750 GS COMFORT MT 850CC ABS,BMW,MOTOS,TURISMO (BÁSICAS-NAKED-CUSTOM),00857053,F 750,GS COMFORT,MT 850CC ABS,016_bmw-f-750-gs-comfort-mt-850cc-abs.jpg,/home/danielromero/Datos/registro_clientes_87/imagenes_motos/016_bmw-f-750-gs-comfort-mt-850cc-abs.jpg,bmw-f-750-gs-comfort-mt-850cc-abs,https://guiadevalores.fasecolda.com/ConsultaFotos/00857053-1.PNG,True
